s13,s48,s52,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,label,F,M,N,Y,N_1,Y_1,A,B,C,D,A_1,B_1,C_1,D_1,A_2,B_2,C_2,D_2,A_3,B_3,0,C_3,x,~1,a,b,c,d,op: A,op: B,op: C,op: D
1,1,1,4.078792334,0.989831892,7,5.926213889,-32.83044987,0.013486793,-9.393843242,1.4821058480000002,3.935659807,4.635940903,1.8475055759999999,0,0,0.140971609,4,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
1,0,1,14.85888304,2.221301457,3,2.875098134,-32.45024854,0.022546289,-9.273576002,1.622575736,7.83457784,4.791693218,1.742108045,0,0,0.9165916040000001,3,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
1,1,1,8.876856338,1.3931848669999998,2,2.669240419,-32.34785144,0.029248737,-9.260415548,1.5087726730000002,6.833892597,5.09121904,1.8051192230000002,0,0,0.216908286,5,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
1,1,1,12.98572477,1.798054218,7,6.249566606,-32.45127241,0.017577722,-8.809642238,1.7716085080000001,8.179618123,10.89564441,1.844662501,0,0,0.491985451,6,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1,1,1,14.79303301,2.165225581,6,2.193754005,-32.86662151,0.022774278,-9.284868706000001,1.468626063,3.221460643,3.7107007039999997,1.6061034930000002,0,0,0.356417196,4,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
1,0,1,19.83926555,2.926608467,3,3.6799077689999997,-32.32817985,0.026581737999999997,-9.161091041,1.772518482,5.316677953,5.438883692999999,1.8043736019999999,0,0,0.299756919,5,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
1,1,1,7.393095287,0.8590989040000001,3,2.320772689,-32.39476911,0.013529931,-9.208819926,1.4859518840000001,6.658373048,5.430681655,1.669316931,0,0,0.04732028,3,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
1,1,1,3.7658064319999998,0.602102835,3,2.25979901,-33.03075534,0.011902593000000001,-9.370574739,1.436101377,6.710050517999999,3.8356268460000003,1.64391493,0,0,0.29461949,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0,1,1,16.36590315,2.8943763430000002,3,7.694038985,-32.33467714,0.027835025,-9.217143172,1.8324544530000002,5.386276253999998,5.341695284,1.515887559,0,0,0.952230743,6,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1,1,1,4.078825916,0.97797962,2,2.021274146,-32.884711100000004,0.016511019,-9.315198653,1.365613687,7.732740168999999,2.24990355,1.733346815,0,0,0.7140315770000001,2,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1,1,1,15.92680685,2.3618644580000003,3,2.297427201,-32.31749673,0.023199355,-8.927219155,1.961481101,6.187683951,5.300265345,1.54581808,0,0,0.45278227200000004,2,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
1,1,1,11.20385879,0.6887412740000001,2,6.213056448,-32.39350184,0.016707013,-9.294686119,1.50892372,4.784191579,3.382148623,1.543989285,0,0,0.3667097070000001,2,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0,1,1,14.73068761,2.0893843690000002,3,7.063377409,-32.33029215,0.020514116000000002,-8.924352412000001,1.88114513,7.2778317779999995,4.246360125,1.899270592,0,0,0.66039194,2,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1,1,1,4.088680944,1.372910018,3,2.668955589,-32.45516679,0.002421456,-9.284583765,1.574104096,6.307301965,5.683866667999999,1.5267529919999998,0,0,0.775401708,4,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
1,1,1,16.99609373,2.6440138109999998,2,6.72539486,-32.35325232,0.025183425,-9.016612168,2.105835314,5.760150059,5.44087372,1.875148419,0,0,0.691335525,5,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
1,1,1,14.70727582,2.17791967,6,7.114487501,-32.50949815,0.022154067000000003,-9.129952323,1.8402352309999999,8.045435231,4.103196337,1.881772675,0,1,0.479474335,3,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1,0,1,18.08054752,3.011074494,3,6.740175193,-32.50940342,0.023291658,-9.10320893,2.0519621569999997,6.554252012,4.837717113,1.5700226290000001,0,1,0.822030617,4,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1,1,1,9.177815017999999,1.5450050309999999,3,3.429114707,-32.45113642,0.022987616000000002,-9.08162742,1.575714422,2.991970344,6.289049253,1.500039074,0,0,0.46487728100000003,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
1,1,1,15.78648545,2.438701815,9,6.896607294,-32.39738863,0.008637269,-8.772756721,1.8190615680000002,5.932156525,11.27957766,1.8677486019999998,0,0,0.021135145,5,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1,0,1,10.36422936,2.035383071,8,8.24115713,-33.02918348,0.006128581,-9.07362265,1.5404837569999998,5.403372364,7.773609623,1.707161516,0,1,0.296376622,5,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
1,1,1,10.04677649,1.524192796,2,2.601168172,-32.35449131,0.029219652000000002,-9.163263773999999,1.472332349,4.160644126,4.061554804,1.615237799,0,0,0.524652156,4,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1,1,1,20.166685100000002,2.955791495,3,6.720861104,-32.45108943,0.027929732999999998,-9.055952062000001,1.823835479,7.148266965,5.632647052,1.7102021790000002,0,0,0.523847054,5,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1,1,1,10.93662443,0.9081664770000001,2,3.619918643,-32.88022564,0.010350723000000001,-9.12902961,1.5452411609999999,6.929141287,6.665628575,1.620017848,0,0,0.224336037,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
1,1,1,7.002548255,0.577290351,3,2.5021622000000003,-33.02185654,0.010052234,-9.30425331,1.4959367319999999,7.83501241,4.799188388,1.877556865,0,0,0.107658764,5,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1,1,1,17.45153183,2.219541581,3,2.9125374739999996,-32.44939077,0.022753611,-9.203320876,2.108799884,6.581330675,6.248483405,1.692787326,0,0,0.83934176,2,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1,0,1,11.01417846,1.65005674,0,3.12976414,-32.348170399999994,0.010517488,-8.956321421,1.551343933,4.273784121,5.8178160189999995,1.638201139,0,0,0.821001785,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
0,1,1,20.53322219,2.933592638,3,6.803377832000001,-32.31981334,0.026243602999999997,-9.280740749,2.033712958,6.433346592,5.297543148,1.513495888,0,0,0.33597246700000005,3,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1,1,1,9.60316781,1.4561471990000001,2,8.082536562,-32.34814452,0.029517287000000007,-9.01083487,1.84902697,6.545877227999999,6.548715293,1.8691354180000002,0,1,0.190295589,3,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1,0,1,17.3153862,3.0347250139999997,0,4.823821796,-32.51282606,0.01794662,-9.214872364,2.087684411,3.698079967,3.919146423,1.7303573890000001,0,0,0.514303718,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1,1,1,7.000752085,1.141697336,3,3.6508798760000003,-32.51007541,0.018230647,-9.185953997,1.507242287,3.66462119,5.253366743,1.8917420440000001,0,0,0.350064827,5,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
1,1,1,5.746929766,0.831235266,3,5.020107383,-32.86733556,0.010391341,-8.99168957,1.5155740469999999,5.911637347,6.984258446,1.624086057,0,0,0.881529591,2,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
1,0,1,9.777274484,1.4569089730000002,2,8.211949566,-32.57502232,0.018447698000000002,-9.224052413999999,1.765256465,5.338360426,4.555145017,1.867873858,0,0,0.13655225599999998,5,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1,0,1,20.0156734,2.958197044,3,7.100910473,-32.3385783,0.018799275,-8.802738572,2.126408118,5.310647765,6.970051912000001,1.718183484,0,1,0.869982264,4,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0
1,1,0,14.38468861,1.720127285,7,3.446736552,-32.51071916,0.01953175,-8.919613013,1.7064783590000001,3.389595954,7.754663166,1.577681981,0,0,0.505754675,3,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1,1,1,10.19791945,1.255460303,3,2.499058022,-33.00652031,0.007604889,-9.206625237,1.484947979,6.588882432,5.660333727,1.50081652,0,0,0.514429228,2,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
0,1,1,17.39714606,2.922287639,3,4.65266632,-32.32892016,0.018377096000000002,-9.086039357999999,2.117501619,9.350628561,5.504365681,1.7985798480000001,0,0,0.125081983,6,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1,1,1,6.702318053,0.778469678,2,5.636437982,-32.87035163,0.01463752,-9.282646819,1.476805659,2.9610064780000003,4.722072159,1.8978732719999998,0,0,0.9117507490000001,2,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
1,0,1,16.62441482,2.56482658,8,7.31885833,-32.5785447,0.010950181000000002,-8.765156996,1.8015230119999999,8.725630116,11.40926865,1.6493062569999999,0,0,0.218499804,3,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1,1,1,9.115054147,0.7037246559999999,6,2.9729466319999998,-32.86036802,0.017293305,-9.240718537000001,1.480050859,6.042461275,5.421205211,1.53130547,0,0,0.514030643,6,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
1,1,1,8.773807838,1.472716521,3,2.0611974809999998,-32.44913327,0.029588119,-9.383092457,1.510764569,5.21053058,4.612351416,1.875127138,0,0,0.905935066,2,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1,1,1,8.464544258,1.62881838,6,2.008340417,-32.87763591,0.018060391999999998,-8.83872736,1.673276913,8.094902791,4.676328337,1.794521056,0,0,0.433021726,3,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
1,0,1,20.27537418,3.068396879,1,8.047690192000001,-32.36717134,0.025658103999999998,-9.009091247,1.8309553509999998,3.218960174,6.035236387,1.841003855,0,0,0.88247064,6,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1,1,1,16.65613761,2.329083876,7,6.759963357999999,-32.51178649,0.02564286,-8.876793718,1.790566572,4.303243848999999,9.877569429,1.56529171,0,0,0.138305689,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
0,0,1,13.18420968,2.06272673,4,2.905075524,-32.316318800000005,0.014901558,-9.22889571,1.4225948519999998,3.15741013,5.081213303999999,1.593887909,0,0,0.851703447,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
1,1,1,11.76269711,1.556041864,7,6.240548686,-32.5770321,0.015702799,-8.725341728,1.495842212,3.8617445289999996,8.157219603,1.8266379590000001,0,0,0.9293326709999999,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1,1,1,19.25336034,3.078535353,1,3.688412348,-32.34652278,0.016835183,-9.227490683,2.126029169,3.706225683,3.26845783,1.711561677,0,0,0.379704638,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
1,1,1,15.76490269,2.508774264,3,8.150464498,-32.64332785,0.019029197,-9.003086032999999,2.139898875,3.12538647,7.856799163,1.834173677,0,0,0.330892847,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
0,1,1,3.39600412,1.133050522,3,8.165553484,-32.88595335,0.019497514,-9.374066847,1.5265413209999998,2.90742073,3.9917709039999996,1.87434779,0,0,0.751954438,3,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1,1,1,13.12736147,0.823678351,3,3.797154893,-32.96444082,0.018242836999999998,-9.063724878,1.472525858,6.362152192999999,7.015190682,1.8786132269999998,0,0,0.126411579,3,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
1,1,1,14.80154563,2.238937188,2,2.028685688,-32.45043707,0.021233573999999998,-9.1440439,1.619648038,7.8544225270000005,5.553566321,1.723936165,0,0,0.8192199090000001,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
1,1,1,12.69760587,1.808968884,8,2.51285595,-32.8406204,0.004599335,-8.765431478,1.5479505059999998,8.895830747,11.11008803,1.832446831,0,0,0.7055605140000001,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
1,1,1,17.06884257,2.738790585,1,6.743139342999999,-32.34423021,0.028277029,-9.206849831,2.0805844159999998,3.9380727939999995,6.340996307999999,1.661580985,0,0,0.125615022,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1,1,1,10.44467128,1.645757308,7,6.884640042999999,-32.51165304,0.016945178999999998,-8.999470087999999,1.939122145,3.26740805,5.039357594,1.678112726,0,0,0.327177922,5,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
1,1,1,14.63782428,2.133021554,7,2.202520014,-32.39571631,0.022612702999999998,-8.779124473,1.7244458459999998,8.932985009,7.571383321,1.639833572,0,0,0.42261371200000003,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
1,1,1,10.20051035,1.378098539,3,3.758606673,-32.34320496,0.023358071,-9.241669414,1.4805262590000001,6.147690852999999,5.631444039,1.75049399,0,0,0.161063129,4,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
1,0,1,15.902499100000002,2.715531963,8,7.2883730510000015,-32.57764185,0.007973675999999999,-8.630825097999999,1.641108175,9.052266095,11.76263319,1.690092933,0,0,0.081380258,6,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1,1,1,12.18975078,2.277059676,2,8.068171958999999,-33.03830605,0.025163772,-9.174565843,1.931984374,9.321677682999999,6.402427454,1.693552009,0,0,0.057782346,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1,1,1,13.02625935,1.812602634,3,2.152345034,-32.94710014,0.010783151999999999,-9.234201385,1.500947485,5.601915537999999,5.4729325410000005,1.797478375,0,0,0.433039038,3,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1,0,1,8.160654607,0.680777249,6,7.96207274,-32.39628421,0.01814926,-9.233020599,1.525558386,5.47471043,6.101708359,1.7265753780000002,0,0,0.540034085,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0,1,1,14.79832936,2.157177028,6,3.097619363,-32.51322467,0.022182143999999997,-9.298164266,1.524263528,3.82659764,4.6243822439999995,1.603428963,0,0,0.094314849,3,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
1,0,1,16.61980216,2.9121827939999996,2,7.3118921210000005,-32.57618691,0.029826547000000002,-8.769596037000001,1.857176937,6.445933675,11.32876502,1.6711930940000002,0,0,0.508688866,4,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
0,1,1,6.681604645,0.924407502,3,3.1546574389999997,-32.71120999,0.016149484,-9.238497749,1.4067166709999999,2.879155798,4.008014412,1.531345398,0,0,0.839350023,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1,1,1,7.097551692000001,1.019068165,3,2.076673908,-32.3647292,0.017432011,-9.218220534,1.5231810469999998,6.047771362000001,4.590991524,1.578277839,0,0,0.562519733,4,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1,1,1,10.53378239,1.411074919,3,2.689972318,-32.38554546,0.006490268,-9.227221819,1.632412606,6.573574616,5.599309971,1.7151924669999998,0,0,0.241568262,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
1,1,1,5.61187589,0.871588922,6,2.460979,-32.57856213,0.016792838,-9.304093117999999,1.664020935,4.309983634,3.859344731,1.825644737,0,0,0.314577996,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
1,0,1,12.75702486,2.528441815,8,4.036224558,-33.02724727,0.0058312730000000005,-8.646154588,1.773358148,5.5807244879999995,12.00808204,1.6282665490000001,0,0,0.478170782,2,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
0,1,1,7.059734584,1.248135396,1,2.8954888239999996,-32.36134537,0.018399474,-9.217443661,1.524765353,3.79705392,4.42389003,1.674377543,0,0,0.96695114,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1,1,1,16.46286802,2.498953962,3,2.255254054,-32.45101817,0.021931825,-9.125438197000001,1.5265056959999999,8.156977556000001,5.898993902999999,1.631003477,0,0,0.578946183,5,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1,1,1,15.94275859,2.6498776,7,7.389382241,-32.45148744,0.007082853,-8.785421963,1.625116104,8.537460484,11.16064693,1.852320037,0,0,0.71651638,6,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1,0,1,9.862109355,1.21264039,6,5.782201545,-32.99605149,0.00769789,-9.04631049,1.540426219,5.315205115,8.158298306,1.834048371,0,0,0.451104484,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
0,1,1,14.72036286,2.2470934959999997,6,4.220517631,-32.33520625,0.021132302000000002,-9.197073382000001,1.813055641,10.55892303,6.231733888,1.79644,0,1,0.843058293,4,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0
1,1,1,8.64631423,1.45207477,3,2.491859371,-33.02066708,0.010668846000000001,-9.270542893,1.5024686,2.912358138,4.1246525830000005,1.5528164880000002,0,1,0.776795146,3,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1,1,1,7.375082915,1.21824857,6,2.348589872,-32.45122301,0.017052806,-9.18665901,1.666668571,5.052799984,4.162387467,1.7856865869999998,0,0,0.003031631,5,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1,0,1,15.41465362,1.6564051309999999,6,2.371003742,-32.34112691,0.016483532,-9.304462748999999,1.575316954,6.75281739,4.283552373,1.8928389769999998,0,0,0.878361443,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1,1,1,5.46374056,0.9687262520000001,3,6.185093757000001,-32.57546831,0.016368538999999998,-9.278791766,1.515103043,4.481872522,4.412062912,1.581713608,0,0,0.556546989,5,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1,0,1,16.32407388,2.195126691,7,7.207847198,-32.32673499,0.023999355,-8.966017601,1.823683755,10.71217995,7.753369123,1.819609351,0,0,0.740037095,4,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0,0,1,5.113944129,0.890155355,5,4.254116168,-32.45211141,0.017151223,-9.248221112000001,1.5224837009999999,4.659781747,10.92992036,1.560658426,0,0,0.999287411,3,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
